seed,sym_type,update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,500,50002,146620,0,120,0,11,0,15,0,0,0,0,0,0,0,0,0,0
1,0,1000,50000,740727,0,14725,0,46,0,453,0,16,0,1,0,0,0,0,0,0
1,0,1500,49998,1.21115e+06,0,45888,0,21,0,127,2,5,0,1,0,1,0,0,0,1
1,0,2000,46183,379442,1,621,0,1,2,2,2,0,0,0,0,0,0,0,0,1
1,0,2500,50920,421449,7,267,0,0,10,6,2,3,0,0,0,0,0,0,0,0
1,0,3000,52386,475148,23,303,0,1,1,4,6,1,0,0,0,0,0,0,0,0
1,0,3500,50446,425907,9,384,0,3,1,1,1,3,0,0,0,0,0,0,0,0
1,0,4000,49983,469857,6,336,0,2,7,4,2,1,0,0,2,0,0,0,0,0
1,0,4500,49788,496283,12,171,1,2,3,7,8,3,0,1,0,0,0,0,0,0
1,0,5000,47059,386935,32,341,0,1,2,5,6,0,1,0,0,0,0,0,0,0
1,0,5500,53037,436258,43,380,0,1,6,19,1,2,1,0,0,0,0,0,0,0
1,0,6000,49665,481917,43,756,0,0,2,11,7,4,0,0,0,0,0,0,0,0
1,0,6500,46373,380959,41,332,0,0,4,2,5,2,0,0,0,0,0,0,0,0
1,0,7000,52975,432869,45,273,0,0,6,15,2,4,0,0,0,0,0,0,0,0
1,0,7500,50573,482883,13,491,1,1,3,17,11,1,1,1,1,0,0,0,0,0
1,0,8000,47715,386920,25,392,0,2,8,2,2,0,1,0,0,0,0,0,0,0
1,0,8500,52450,443890,18,810,0,63,4,1,6,2,0,0,0,0,0,0,0,0
1,0,9000,49865,491763,12,717,1,3,5,69,4,4,1,0,0,0,0,0,0,0
1,0,9500,47925,392990,8,409,1,14,0,5,2,0,1,0,0,0,0,0,0,0
1,0,10000,52133,441943,32,217,0,0,5,5,3,3,1,0,1,0,0,0,0,0
1,0,10500,49888,494069,52,250,2,0,5,2,6,8,0,1,2,0,0,0,0,0
1,0,11000,49983,388352,49,169,1,1,5,14,6,3,1,0,0,0,0,0,0,0
1,0,11500,49911,448577,80,202,1,0,2,4,6,1,0,0,0,0,0,0,0,0
