seed,parasite_death_chance,size,update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
1,0.8,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.8,0.85,500,50002,146620,0,120,0,11,0,15,0,0,0,0,0,0,0,0,0,0
1,0.8,0.85,1000,49999,1.00718e+06,1,10276,0,50,0,965,0,18,0,4,0,0,0,0,0,0
1,0.8,0.85,1500,49996,2.39378e+06,4,139,0,0,0,28,0,8,0,0,0,0,0,0,0,0
1,0.8,0.85,2000,47974,951544,2,29,0,0,1,9,4,3,0,0,0,0,0,0,0,0
1,0.8,0.85,2500,10254,169142,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0
1,0.8,0.85,3000,12904,208530,3,19,0,0,0,4,2,0,0,0,0,0,0,0,0,0
1,0.8,0.85,3500,18731,295214,3,7,0,0,0,4,2,1,0,0,0,0,0,0,0,0
1,0.8,0.85,4000,22937,370722,0,23,0,0,0,2,1,4,0,0,0,0,0,0,0,0
1,0.8,0.85,4500,4725,87408,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
1,0.8,0.85,5000,6710,117214,0,6,0,0,2,1,0,6,0,0,0,0,0,0,0,0
1,0.8,0.85,5500,8914,150647,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0
1,0.8,0.85,6000,11501,195490,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0
1,0.8,0.85,6500,2332,45135,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,0.8,0.85,7000,3241,60376,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1,0.8,0.85,7500,4439,78901,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.8,0.85,8000,5835,104878,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,0.8,0.85,8500,1226,26384,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.8,0.85,9000,1833,35811,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
1,0.8,0.85,9500,2788,51441,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,0.8,0.85,10000,4449,74771,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,0.8,0.85,10500,775,14069,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.8,0.85,11000,1571,20616,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1,0.8,0.85,11500,4320,43749,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.8,0.85,12000,37580,150579,0,7,0,0,2,0,1,9,0,0,0,0,0,0,0,0
1,0.8,0.85,12500,384516,611135,224,22,18,0,162,3,18,1,0,0,1,0,0,0,0,0
1,0.8,0.85,13000,548496,2.24859e+06,1285,98,1,0,197,10,9,4,0,0,1,0,0,0,0,0
1,0.8,0.85,13500,49548,2.36919e+06,450,111,1,0,0,10,1,13,0,0,0,0,0,0,0,0
1,0.8,0.85,14000,49489,2.3422e+06,510,74,0,0,0,11,1,14,0,0,0,1,0,0,0,0
1,0.8,0.85,14500,49970,424525,26,12,0,0,4,7,0,2,0,0,0,0,0,0,0,0
1,0.8,0.85,15000,49845,727067,146,17,0,0,9,3,0,0,0,0,0,0,0,0,0,0
1,0.8,0.85,15500,49827,1.02962e+06,16,23,0,0,154,7,2,3,0,0,1,0,0,0,0,0
1,0.8,0.85,16000,49842,1.17439e+06,1,25,4,0,153,15,0,3,0,0,0,0,0,0,0,0
1,0.8,0.85,16500,49938,380308,60,4,0,0,2,3,0,4,0,0,0,0,0,0,0,0
1,0.8,0.85,17000,49964,736989,32,16,0,0,2,8,2,1,0,0,0,0,0,0,0,0
1,0.8,0.85,17500,49972,1.03789e+06,28,15,0,0,0,4,0,4,0,0,0,0,0,0,0,0
1,0.8,0.85,18000,49678,1.1844e+06,319,47,0,0,0,6,3,9,0,0,0,0,0,0,0,0
1,0.8,0.85,18500,49752,381332,158,22,0,0,4,7,86,3,0,0,0,0,0,0,0,0
1,0.8,0.85,19000,49640,714963,358,31,1,0,0,7,0,4,1,0,0,0,0,0,0,0
1,0.8,0.85,19500,49636,1.00102e+06,361,32,0,0,2,13,1,1,0,0,0,0,0,0,0,0
1,0.8,0.85,20000,49831,1.14938e+06,168,32,0,0,0,13,1,9,0,0,0,0,0,0,0,0
1,0.8,0.85,20500,49131,385715,833,7,0,0,36,11,0,1,0,0,0,0,0,0,0,0
1,0.8,0.85,21000,48482,738487,1329,25,131,1,55,5,2,9,1,0,0,0,0,0,0,0
1,0.8,0.85,21500,47821,1.02154e+06,1583,23,315,0,280,11,1,5,0,0,0,0,0,0,0,0
1,0.8,0.85,22000,47095,1.165e+06,1908,30,487,0,509,9,1,9,0,0,0,0,0,0,0,0
1,0.8,0.85,22500,46961,380130,2483,10,51,0,500,2,5,0,0,0,0,0,0,0,0,0
1,0.8,0.85,23000,47521,724419,2264,8,0,0,215,5,0,10,0,0,0,0,0,0,0,0
1,0.8,0.85,23500,47649,1.01567e+06,2350,47,0,0,1,2,0,7,0,0,0,0,0,0,0,0
1,0.8,0.85,24000,47657,1.1627e+06,2341,12,0,1,2,11,0,7,0,0,0,0,0,0,0,0
1,0.8,0.85,24500,48611,389951,1388,15,0,0,1,4,0,1,0,0,0,0,0,0,0,0
1,0.8,0.85,25000,48239,746587,1760,30,0,0,1,5,0,10,0,0,0,0,0,0,0,0
1,0.8,0.85,25500,48010,1.04318e+06,1989,35,0,0,0,5,0,9,0,0,1,0,0,0,0,0
1,0.8,0.85,26000,48512,1.17709e+06,1487,33,1,0,0,2,0,14,0,0,0,0,0,0,0,0
1,0.8,0.85,26500,48776,391690,1222,18,0,0,1,7,1,6,0,0,0,0,0,0,0,0
1,0.8,0.85,27000,48209,749006,1759,47,0,0,23,8,9,4,0,0,0,0,0,0,0,0
1,0.8,0.85,27500,48108,1.047e+06,1757,26,0,0,116,8,19,5,0,0,0,0,0,0,0,0
1,0.8,0.85,28000,47912,1.18485e+06,1795,42,0,0,275,4,18,7,0,0,0,0,0,0,0,0
1,0.8,0.85,28500,48350,386137,1641,12,5,0,3,1,1,0,0,0,0,0,0,0,0,0
1,0.8,0.85,29000,48832,718607,1166,8,0,0,0,0,2,9,0,0,0,0,0,0,0,0
1,0.8,0.85,29500,49335,1.00874e+06,660,13,0,0,4,1,1,2,0,0,0,0,0,0,0,0
1,0.8,0.85,30000,49629,1.15158e+06,369,18,0,0,2,5,0,7,0,0,0,0,0,0,0,0
