seed,sym_type,update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,500,50002,146620,0,120,0,11,0,15,0,0,0,0,0,0,0,0,0,0
1,0,1000,50000,740727,0,14725,0,46,0,453,0,16,0,1,0,0,0,0,0,0
1,0,1500,49998,1.21192e+06,0,45899,0,21,0,127,2,5,0,1,0,1,0,0,0,1
1,0,2000,49991,534360,0,762,0,1,0,25,9,5,0,0,0,0,0,0,0,0
1,0,2500,49989,508570,2,416,1,4,3,1,5,3,0,0,0,0,0,0,0,0
1,0,3000,49988,484459,1,687,0,1,3,10,8,2,0,0,0,0,0,0,0,0
1,0,3500,49004,409491,18,648,0,1,5,5,1,5,0,0,0,0,0,0,0,0
1,0,4000,50932,453392,33,767,0,2,4,1137,3,7,0,0,0,0,0,0,0,0
1,0,4500,49946,499912,42,952,0,0,10,206,2,3,0,0,0,0,0,0,0,0
1,0,5000,49939,529496,46,522,0,3,11,768,4,3,0,2,0,0,0,0,0,0
1,0,5500,49945,523814,49,449,0,10,4,21,2,1,0,1,0,0,0,0,0,0
1,0,6000,49942,523333,46,964,1,3,7,37,3,2,0,0,1,0,0,0,0,0
1,0,6500,44674,373181,52,873,0,4,1,21,8,4,0,0,2,0,0,0,0,0
1,0,7000,50715,419179,52,586,2,0,3,23,10,0,0,0,0,0,0,0,0,0
1,0,7500,54427,485333,38,286,1,0,6,5,8,1,1,0,0,0,0,0,0,0
1,0,8000,49974,534969,15,850,0,3,6,19,5,4,0,0,0,0,0,0,0,0
1,0,8500,49984,547552,8,414,0,6,7,6,0,5,0,0,1,0,0,0,0,0
1,0,9000,49970,539699,12,329,2,0,8,9,6,4,2,0,0,0,0,0,0,0
1,0,9500,49942,394918,31,1095,0,3,22,11,4,1,1,0,0,0,0,0,0,0
1,0,10000,49947,470402,26,2256,0,5,22,10,5,0,0,0,0,0,0,0,0,0
1,0,10500,49943,540017,35,3282,0,0,17,22,5,4,0,0,0,0,0,0,0,0
1,0,11000,49948,596969,41,3720,1,1,5,39,3,8,2,0,0,0,0,0,0,0
1,0,11500,49936,615896,54,4341,0,2,2,59,5,4,3,0,0,0,0,0,0,0
